"X1","X2","X3","X4","X5","X6","X7"
"1","2",3,4,5,"6","7"
"0jdNdfi4vAuVi7a6cPDFBM","Lazza",1165613,1,79,"rap","artist"
"27LlKWxS3KXW7RRAxN5S8s","Geolier",903601,1,79,"rap","artist"
"5AZuEF0feCXMkUCwQiQlW7","Marracash",1966833,1,74,"rap","artist"
"3yiEJ9SByXZMXTwaKdVFN4","Luchè",883608,1,70,"rap","artist"
"3hBQ4zniNdQf1cqqo6hzuW","Salmo",2318915,1,72,"rap","artist"
"5dXlc7MnpaTeUIsHLVe3n4","Coez",1974014,1,70,"rap","artist"
"1AgAVqo74e2q4FVvg0xpT7","Tedua",1387756,1,70,"rap","artist"
"3TVXtAsR1Inumwj472S9r4","Drake",71121160,0,97,"rap","artist"
"2E6AK3UPEGCvjnzuygCh2h","Night Skinny",170628,1,68,"rap","artist"
"7dGJo4pcD2V6oG8kP0tJRR","Eminem",64837628,0,93,"rap","artist"
"0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin",3605271,0,92,"rap","artist"
"1URnnhqYAYcrqrcwql10ft","21 Savage",12606021,0,94,"rap","artist"
"52iwsT98xCoGgiGntTiR7K","Quevedo",1012078,0,88,"rap","artist"
"7u710e44HW3K7A5eTnRqHC","Fabri Fibra",1307531,1,66,"rap","artist"
"0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott",21748855,0,91,"rap","artist"
"3egWSWp7Y4FyCKIyvXbw7L","Ghali",2910919,1,66,"rap","artist"
"5K4W6rqBFWDnAN6FQUkS6x","Kanye West",19155568,0,91,"rap","artist"
"3IW7ScrzXmPvZhB27hmfgy","Jul",6586487,0,83,"rap","artist"
"3liWfHRnSkAv6oHHuF1i74","Janax",7625,0,63,"rap","artist"
"7FeObngbQ0GY3SojNwKdKn","Bresh",135799,1,65,"rap","artist"
"0L1f9i3L3fkMNENljDOsjG","Rocco Hunt",1508692,1,66,"rap","artist"
"246dkjvS1zLTtiykXe5h60","Post Malone",39459845,0,89,"rap","artist"
"6289Bbkkk3gaCbh1K7Rv8F","Izi",902368,1,63,"rap","artist"
