"X1","X2","X3","X4","X5","X6","X7"
"0jdNdfi4vAuVi7a6cPDFBM","Lazza",1168890,1,79,"hip-hop","artist"
"2K5nCggbhSZ00YCYP5qkZS","Shiva",1054778,1,79,"hip-hop","artist"
"27LlKWxS3KXW7RRAxN5S8s","Geolier",906180,1,79,"hip-hop","artist"
"7F2utINZ6tSokSiZTQBE27","Guè",2075360,1,78,"hip-hop","artist"
"23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta",5205277,1,79,"hip-hop","artist"
"5AZuEF0feCXMkUCwQiQlW7","Marracash",1969109,1,74,"hip-hop","artist"
"19i93sA0D7yS9dYoVNBqAA","thasup",2004820,1,75,"hip-hop","artist"
"3hBQ4zniNdQf1cqqo6hzuW","Salmo",2319667,1,72,"hip-hop","artist"
"1KQJOTeIMbixtnSWY4sYs2","Paky",656195,1,73,"hip-hop","artist"
"5SulO4l40qDuV9zUGLZx7n","Capo Plaza",3428625,1,73,"hip-hop","artist"
"3fhMfkPPzksWuw0hEm4ldm","Ernia",775851,1,73,"hip-hop","artist"
"056KMTw6IztdQjBmFfVyO3","Rkomi",1300353,1,72,"hip-hop","artist"
"4upwdFMlZBmQ68jP9jPzjK","Gemitaiz",1973700,1,71,"hip-hop","artist"
"3yiEJ9SByXZMXTwaKdVFN4","Luchè",885986,1,70,"hip-hop","artist"
"61bQ4nwIioR8w6PGxzpyY3","Rondodasosa",646430,1,71,"hip-hop","artist"
"1AgAVqo74e2q4FVvg0xpT7","Tedua",1388187,1,70,"hip-hop","artist"
"2E6AK3UPEGCvjnzuygCh2h","Night Skinny",170855,1,68,"hip-hop","artist"
"1MRiIeZbc0cRuxOafDUCtH","BLANCO",1328456,1,68,"hip-hop","artist"
"754BUADwzMYecBgOoBaetK","Neima Ezza",308939,1,67,"hip-hop","artist"
"3ASAxVN1hNoYfoMcIkzZWL","VillaBanks",454367,1,67,"hip-hop","artist"
"49UAapOfpOg1ZOU4xf2NgY","Noyz Narcos",704898,1,66,"hip-hop","artist"
"1El4YQA8oCXX7ynFSxRTFq","Massimo Pericolo",456832,1,67,"hip-hop","artist"
"3lbFUmlaNMa9ZVSabLlkhn","Medy",117039,1,66,"hip-hop","artist"
"44DWomjW1oDuxIoBIRpmQ4","Rhove",405680,1,68,"hip-hop","artist"
"6FtwCmLY6L1sqvjaQ2lV6G","Emis Killa",1479234,1,66,"hip-hop","artist"
"7u710e44HW3K7A5eTnRqHC","Fabri Fibra",1308233,1,66,"hip-hop","artist"
"7K80yOTC0Id95gRaOxDG5u","ANNA",121999,1,66,"hip-hop","artist"
"5H5RWXYleho8amdspskcUb","Niko Pandetta",348041,1,65,"hip-hop","artist"
"0hk4xVujcyOr6USD95wcWb","Sick Luke",217942,1,65,"hip-hop","artist"
"1vgQksyJ0IVz8y9XerEOy3","Madame",572925,1,66,"hip-hop","artist"
"3MkkSf3u5KU52Mb2iMrqeX","MadMan",1186517,1,64,"hip-hop","artist"
"6CKch2otN4SPznHf9ms5JF","Tony Effe",198463,1,65,"hip-hop","artist"
"3egWSWp7Y4FyCKIyvXbw7L","Ghali",2911664,1,66,"hip-hop","artist"
"0fskdccy6fvnWMNMNPqEro","PSICOLOGI",644030,1,64,"hip-hop","artist"
"24oVOFAARWAYUb1LaedbI0","Icy Subzero",61759,1,64,"hip-hop","artist"
"7FeObngbQ0GY3SojNwKdKn","Bresh",136016,1,65,"hip-hop","artist"
"7BgEOZ9w3Y4IMShXTMu1nN","Frah Quintale",553586,1,65,"hip-hop","artist"
"6jQZzWW3JlEtcRDSzFVKSP","Nitro",638189,1,63,"hip-hop","artist"
"2aya6KuqjXEhHBqYKsTPLs","Rose Villain",28398,1,63,"hip-hop","artist"
"1ZDu0fOcpCIjDwyl2cvk08","Vale pain",197217,1,63,"hip-hop","artist"
"0L1f9i3L3fkMNENljDOsjG","Rocco Hunt",1509889,1,66,"hip-hop","artist"
"6289Bbkkk3gaCbh1K7Rv8F","Izi",902510,1,63,"hip-hop","artist"
"7tmTvmqgTBcX88ZrSHByrD","Nayt",476785,1,61,"hip-hop","artist"
"4oEO6Ud3efrjTNSR9SMleI","Silent Bob",99134,1,61,"hip-hop","artist"
"3yGA8yyowtKVXgNIXguMfz","Lele Blade",253571,1,61,"hip-hop","artist"
"2KkO9uXHF9BVNJASjLekAc","Franco126",313530,1,62,"hip-hop","artist"
"6JFRI91YaCXREGQYzHSnUH","Jake La Furia",417408,1,61,"hip-hop","artist"
"0zoMmzmyi8N8LwzhyXPvtk","Mara Sattei",106036,1,61,"hip-hop","artist"
"5dPBeuSKtu5vLz1Et8YSVv","Mostro",380376,1,60,"hip-hop","artist"
"5CqlDzj8DSqsklkXuTYfSd","Nabi",60700,1,60,"hip-hop","artist"
"7gjqZ8coFZimZDtdk04WP1","MACE",95796,1,61,"hip-hop","artist"
"1eznSku2RY9VSvkhWxXdmx","2nd Roof",11108,1,60,"hip-hop","artist"
"0QqmgpgI0C1DyyDk49vnxY","MV Killa",156622,1,60,"hip-hop","artist"
"5K92J8NwWAlu6fRN2uoHVN","3D",8193,1,59,"hip-hop","artist"
"0lI3rF4hi4op6UxqlLHPzv","Achille Lauro",856444,1,60,"hip-hop","artist"
"1hHYi4Vy83BGo6TqKd98hu","Boro Boro",302267,1,59,"hip-hop","artist"
"6hkKbkZGvAXuvle2FhCnxy","Shablo",46155,1,58,"hip-hop","artist"
"4y5lvMadZv6NAv8RgcCRem","Yung Snapp",22485,1,58,"hip-hop","artist"
"2iK8weavvfS2xJCmzNzNE5","J-AX",2055157,1,60,"hip-hop","artist"
"0pSx3asj3usz5PRt8COo0E","Ketama126",287867,1,60,"hip-hop","artist"
"0XMi14343o5LtUKVdKmMUj","Slings",68468,1,58,"hip-hop","artist"
"7Do8se3ZoaVqUt3woqqSrD","MACHETE",440496,1,58,"hip-hop","artist"
"4b3MWJACM6T1QwGKoFe7pp","Vegas Jones",915185,1,57,"hip-hop","artist"
"4CuMwzDzEdlUJMEna38VQ0","Dark Polo Gang",1319403,1,58,"hip-hop","artist"
"5FEh6KHK99CyLXp3qFvZFM","CoCo",168356,1,58,"hip-hop","artist"
"63isdzBiMOaYkMiX6XddfB","Mezzosangue",251122,1,56,"hip-hop","artist"
"2DWRgncNMnTfwDiKSI0VoP","TY1",34702,1,56,"hip-hop","artist"
"4yUvIAm9mSJyLt1WLrOxAZ","Mecna",291792,1,57,"hip-hop","artist"
"4p5IspnsqtILeRtckOxumu","Il Tre",338118,1,55,"hip-hop","artist"
"26OG4ryQ7oFAbUNAvYCOgn","Vale Lambo",226522,1,56,"hip-hop","artist"
"0q0CTttRdwiuDFmDiN7jAt","Nicola Siciliano",297458,1,56,"hip-hop","artist"
"54dqxLAclwu0QSaTwCyCaF","Neffa",294054,1,56,"hip-hop","artist"
"0ffKEtMDnROKWyJtXUnLbJ","Dani Faiv",346400,1,55,"hip-hop","artist"
"1sybJwRGo9WiiqcZLzzAbS","Sacky",177976,1,57,"hip-hop","artist"
"4dyfAiJCbl7jS1GHOCdiJv","Club Dogo",448649,1,54,"hip-hop","artist"
"0VitAFMCI2apQxKzDjg1PU","BLOODY VINYL",157166,1,55,"hip-hop","artist"
"6hb3ftxbKAFsOiNCdFbyzJ","Andry The Hitmaker",8992,1,55,"hip-hop","artist"
"6jwzGu5VdkR5tsRROYuxso","DrefGold",533822,1,55,"hip-hop","artist"
"0noBqdN1IGlVyoYkpd6Vrn","Keta",142007,1,57,"hip-hop","artist"
"49SLNYRfTi1p9R38NooZKS","SLF",64151,1,55,"hip-hop","artist"
"4X89u81dkCXBSGo8i2DhMW","LIBERATO",441738,1,56,"hip-hop","artist"
"1lwGYDWoXC7E5wDNYZBurw","bnkr44",37536,1,55,"hip-hop","artist"
"6PXiPeUVFrlaC1n8511ijT","Side Baby",118932,1,54,"hip-hop","artist"
"5mjasIBQQPIqA9GV2Ys61h","chiello",91104,1,55,"hip-hop","artist"
"1gs79u8PKkWAW1yfymbkTt","MILES",35058,1,55,"hip-hop","artist"
"0JTyCMDiDRxnkcDYhcB93D","8blevrai",24393,1,54,"hip-hop","artist"
"00CsjN69YCczmdW0bDKaCC","Willie Peyote",237125,1,55,"hip-hop","artist"
"5gYADZXuZoaJwrwfAPbKuH","Rosa Chemical",134050,1,53,"hip-hop","artist"
"7muPB2GhV0sEg2K1Fgj0Xm","Dargen D'Amico",136655,1,56,"hip-hop","artist"
"5RiGhrEoM1SBjZoY25lCfe","Nashley",171152,1,53,"hip-hop","artist"
"0ba6wsfB7G2rhdHMebCdO3","Clementino",692126,1,54,"hip-hop","artist"
"14XRgLXin9R3eKTNXBNwos","Leon Faun",159793,1,53,"hip-hop","artist"
"4r1DHaB2yIhddOkTF92d1d","NASKA",55400,1,54,"hip-hop","artist"
"3sRTjuam7GJ4lA7ewD2sfb","Touché",96006,1,53,"hip-hop","artist"
"1hM06YHQ635cZwwUbn7dpk","Fasma",302936,1,54,"hip-hop","artist"
"4UikIA2yhd0jVJSXD9IOJH","FSK SATELLITE",267134,1,53,"hip-hop","artist"
"1SDzdhISMGaEQzOCaJQ45C","J Lord",17757,1,52,"hip-hop","artist"
"6Fd10Q3sQq1NsvpFTlvMsN","Mondo Marcio",330584,1,52,"hip-hop","artist"
"3sC3sCpqSYClSdKez9Rs6k","Giaime",190119,1,53,"hip-hop","artist"
"3WrMBQYO99lzSOhYGPiVoQ","Don Joe",77976,1,52,"hip-hop","artist"
"2BNVHk103mhpIy5ytlCHTT","Peppe Soks",263160,1,52,"hip-hop","artist"
"25u1DN0MwQVSav4XoJS7hl","Olly",21370,1,53,"hip-hop","artist"
"0CXnO9kUawdDjzToSqCC3p","Disme",29015,1,53,"hip-hop","artist"
"5DkmrXKeWgDS86KKEw45o6","Rancore",176020,1,52,"hip-hop","artist"
"6gHfqtW8exAkwlpwHN4JyZ","Plant",9312,1,52,"hip-hop","artist"
"6doCr3greqY545Eo7IsY3m","Rayan",16491,1,52,"hip-hop","artist"
"1Hg2H3Z46P8lXECM8DYSpU","SEVEN 7oo",105875,1,53,"hip-hop","artist"
"1Ij5ZIGlPTkoZibay58zHe","Articolo 31",513200,1,53,"hip-hop","artist"
"1NHdROm8HLgfbar8uCIZGk","Skinny",86739,1,52,"hip-hop","artist"
"2m43lP1Wo0IPyxVG4ofE33","167 Gang",80838,1,52,"hip-hop","artist"
"26PZBCQnswFp61ccTrVJOa","Gianni Bismark",136045,1,52,"hip-hop","artist"
"0RENwV6Phsp2y8nnFJ54UC","Tredici Pietro",102234,1,52,"hip-hop","artist"
"5FkcU4BVzPptuB6AjobZIL","Taxi B",80520,1,52,"hip-hop","artist"
"46zGU1FOSsPBXb1csAeMJd","Theø",19753,1,52,"hip-hop","artist"
